id,nazev,typ,adresa1,adresa2,adresa3,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
061388068,Střední škola,C00,Evropská 330/33,Dejvice,160 00 Praha 6,Praha 6,Hlavní město Praha,7531M01,Předškolní a mimoškolní pedagogika,10,40,240,Praha 6
061385891,Střední škola,C00,Jablonského 333/3,Holešovice,170 00 Praha 7,Praha 7,Hlavní město Praha,3143M01,Oděvnictví,10,40,410,Praha 7
000336475,Střední škola,C00,U libeňského zámku 1/2,Libeň,180 00 Praha 8,Praha 8,Hlavní město Praha,7941K41,Gymnázium,10,40,570,Praha 8
000638501,Střední škola,C00,U Vinohradského hřbitova 2471/3,Vinohrady,130 00 Praha 3,Praha 3,Hlavní město Praha,6341M02,Obchodní akademie,10,40,440,Praha 3
108000877,Střední škola,C00,Svídnická 506/1,Troja,181 00 Praha 8,Praha 8,Hlavní město Praha,6542M01,Hotelnictví,10,40,215,Praha 8
000638218,Střední škola,C00,Pernerova 273/25,Karlín,186 00 Praha 8,Praha 8,Hlavní město Praha,7941K41,Gymnázium,10,40,288,Praha 8
110036204,Střední škola,C00,Kollárova 271/5,Karlín,186 00 Praha 8,Praha 8,Hlavní město Praha,6341M02,Obchodní akademie,10,40,510,Praha 8
016499671,Střední škola,C00,Svídnická 599/1a,Troja,181 00 Praha 8,Praha 8,Hlavní město Praha,6341M02,Obchodní akademie,10,40,170,Praha 8
045796955,Střední škola,C00,Nad Rokoskou 111/7,Libeň,182 00 Praha 8,Praha 8,Hlavní město Praha,6341M02,Obchodní akademie,10,40,240,Praha 8
108001342,Střední škola,C00,Českolipská 373/27,Střížkov,190 00 Praha 9,Praha 9,Hlavní město Praha,7941K41,Gymnázium,10,40,170,Praha 9
000638404,Střední škola,C00,Pod Táborem 300/7,Hrdlořezy,190 00 Praha 9,Praha 9,Hlavní město Praha,3646M01,Geodézie a katastr nemovitostí,10,40,300,Praha 9
108001270,Střední škola,C00,náměstí 25. března 100/2,Čakovice,196 00 Praha 9,Praha 9,Hlavní město Praha,7941K41,Gymnázium,10,40,300,Praha 9
011233354,Střední škola,C00,Žalanského 68/54,Řepy,163 00 Praha 6,Praha 6,Hlavní město Praha,8241M01,Užitá malba,10,40,40,Praha 6
014891409,Střední škola,C00,Novovysočanská 280/48,Vysočany,190 00 Praha 9,Praha 9,Hlavní město Praha,1820M01,Informační technologie,10,40,240,Praha 9
108001491,Střední škola,C00,Litvínovská 600/1,Prosek,190 00 Praha 9,Praha 9,Hlavní město Praha,1820M01,Informační technologie,10,40,480,Praha 9
000638170,Střední škola,C00,Litoměřická 726/17,Prosek,190 00 Praha 9,Praha 9,Hlavní město Praha,7941K41,Gymnázium,10,40,170,Praha 9
108001547,Střední škola,C00,Dygrýnova 1006/21,Černý Most,198 00 Praha 9,Praha 9,Hlavní město Praha,6542M02,Cestovní ruch,10,40,140,Praha 9
110007786,Střední škola,C00,Chabařovická 1125/4,Kobylisy,182 00 Praha 8,Praha 8,Hlavní město Praha,1820M01,Informační technologie,10,40,120,Praha 8
000638188,Střední škola,C00,Špitálská 700/2,Vysočany,190 00 Praha 9,Praha 9,Hlavní město Praha,7941K41,Gymnázium,10,40,180,Praha 9
000222411,Střední škola,C00,Podkovářská 797/4,Vysočany,190 00 Praha 9,Praha 9,Hlavní město Praha,8248L01,Starožitník,10,40,90,Praha 9
044264445,Střední škola,C00,Trojská 211/110,Troja,171 00 Praha 7,Praha 7,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,480,Praha 7
045270082,Střední škola,C00,Žerotínova 1100/36,Žižkov,130 00 Praha 3,Praha 3,Hlavní město Praha,6341M01,Ekonomika a podnikání,10,40,185,Praha 3
108001571,Střední škola,C00,Ke Stadionu 623/9,Čakovice,196 00 Praha 9,Praha 9,Hlavní město Praha,4143L01,Chovatel cizokrajných zvířat,10,40,120,Praha 9
110011350,Střední škola,C00,Kardašovská 691,Hloubětín,198 00 Praha 9,Praha 9,Hlavní město Praha,6542M02,Cestovní ruch,10,40,135,Praha 9
060162961,Střední škola,C00,Kozinova 1000/1,Hostivař,102 00 Praha 10,Praha 10,Hlavní město Praha,7941K41,Gymnázium,10,40,132,Praha 10
000638421,Střední škola,C00,V úžlabině 320/23,Malešice,100 00 Praha 10,Praha 10,Hlavní město Praha,1820M01,Informační technologie,10,40,540,Praha 10
047608960,Střední škola,C00,Svatoslavova 333/4,Nusle,140 00 Praha 4,Praha 4,Hlavní město Praha,7941K41,Gymnázium,10,40,150,Praha 4
000638412,Střední škola,C00,Na Třebešíně 2299/69,Strašnice,100 00 Praha 10,Praha 10,Hlavní město Praha,1820M01,Informační technologie,10,40,256,Praha 10
000638510,Střední škola,C00,Heroldovy sady 362/1,Vršovice,101 00 Praha 10,Praha 10,Hlavní město Praha,6341M02,Obchodní akademie,10,40,240,Praha 10
000638200,Střední škola,C00,Voděradská 900/2,Strašnice,100 00 Praha 10,Praha 10,Hlavní město Praha,7941K41,Gymnázium,10,40,140,Praha 10
000639133,Střední škola,C00,Jesenická 3067/1,Záběhlice,106 00 Praha 10,Praha 10,Hlavní město Praha,2345L01,Mechanik seřizovač,10,40,120,Praha 10
063109026,Střední škola,C00,Omská 1300/4,Vršovice,100 00 Praha 10,Praha 10,Hlavní město Praha,7941K41,Gymnázium,10,40,270,Praha 10
016996593,Střední škola,C00,Hornoměcholupská 873,Hostivař,102 00 Praha 10,Praha 10,Hlavní město Praha,7531M01,Předškolní a mimoškolní pedagogika,10,40,135,Praha 10
110010116,Střední škola,C00,Ječná 527/33,Nové Město,120 00 Praha 2,Praha 2,Hlavní město Praha,5341M01,Zdravotnický asistent,10,40,230,Praha 2
110031067,Střední škola,C00,5. května 200/51,Nusle,140 00 Praha 4,Praha 4,Hlavní město Praha,5341M01,Zdravotnický asistent,10,40,550,Praha 4
000638323,Střední škola,C00,Na Příkopě 856/16,Nové Město,110 00 Praha 1,Praha 1,Hlavní město Praha,1820M01,Informační technologie,10,40,480,Praha 1
110030982,Střední škola,C00,Alšovo nábřeží 82/6,Staré Město,110 00 Praha 1,Praha 1,Hlavní město Praha,2844M01,Aplikovaná chemie,10,40,272,Praha 1
