;id;nazev;typ;adresa1;adresa2;adresa3;PSC;obec;kraj;obor_kod;obor_nazev;obor_forma;obor_delka;obor_kapacita;okres;kod_okresu_a;kod_okresu_b;nazev_ulice;cislo_popisne;Zeměpisná šířka;Zeměpisná délka;kategorie
29;60650486;Střední škola;C00;V Jezárkách 745;388 01 Blatná;388 01 Blatná;38801.0;Blatná;Jihočeský kraj;1820M01;Informační technologie;10;40;136.0;Strakonice;CZ0316;40339;V Jezárkách;745;49.426977;13.869082;informační technologie
30;60650443;Střední škola;C00;Máchova 174;Strakonice I;386 01 Strakonice;38601.0;Strakonice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;384.0;Strakonice;CZ0316;40339;Máchova;174;49.265425;13.893624;gymnázium
31;60061863;Střední škola;C00;Komenského 1670/4;390 02 Tábor;390 02 Tábor;39002.0;Tábor;Jihočeský kraj;2341M001;Strojírenství;10;40;256.0;Tábor;CZ0317;40347;Komenského;1670/4;49.408266;14.673998;odborné vzdělání s maturitou
32;60061812;Střední škola;C00;nám. F. Křižíka 860/25;390 01 Tábor;390 01 Tábor;39001.0;Tábor;Jihočeský kraj;7941K41;Gymnázium;10;40;264.0;Tábor;CZ0317;40347;nám. F. Křižíka;860/25;49.413487;14.664007;gymnázium
33;60064765;Střední škola;C00;tř. Dr. Edvarda Beneše 449/20;Soběslav II;392 01 Soběslav;39201.0;Soběslav;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;130.0;Tábor;CZ0317;40347;tř. Dr. Edvarda Beneše;449/20;49.255568;14.720998;gymnázium
34;60065303;Střední škola;C00;Zborovská 2696;390 03 Tábor;390 03 Tábor;39003.0;Tábor;Jihočeský kraj;6341M01;Ekonomika a podnikání;10;40;50.0;Tábor;CZ0317;40347;Zborovská;2696;49.423292;14.649807;obchodní akademie a veřejnosprávní činnost
35;582875;Střední škola;C00;Zavadilská 2472;390 02 Tábor;390 02 Tábor;39002.0;Tábor;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;105.0;Tábor;CZ0317;40347;Zavadilská;2472;49.411618;14.683843;gymnázium
36;60061855;Střední škola;C00;Blatské sídliště 600;Veselí nad Lužnicí I;391 81 Veselí nad Lužnicí;39181.0;Veselí nad Lužnicí;Jihočeský kraj;1601M001;Ochrana a tvorba životního prostředí;10;40;190.0;Tábor;CZ0317;40347;Blatské sídliště;600;49.187581;14.698387;odborné vzdělání s maturitou
37;110400666;Střední škola;C00;Bydlinského 2474;390 02 Tábor;390 02 Tábor;39002.0;Tábor;Jihočeský kraj;1820M01;Informační technologie;10;40;180.0;Tábor;CZ0317;40347;Bydlinského;2474;49.405023;14.679727;informační technologie
38;110030494;Střední škola;C00;Husova tř. 555/3;České Budějovice 3;370 01 České Budějovice;37001.0;České Budějovice;Jihočeský kraj;5341M01;Zdravotnický asistent;10;40;300.0;České Budějovice;CZ0311;40282;Husova tř.;555/3;48.977685;14.470398;odborné vzdělání s maturitou
39;110009762;Střední škola;C00;Klášterská 77;Jindřichův Hradec II;377 01 Jindřichův Hradec;37701.0;Jindřichův Hradec;Jihočeský kraj;5341M007;Zdravotnický asistent;10;40;220.0;Jindřichův Hradec;CZ0313;40304;Klášterská;77;49.14702;15.002597;odborné vzdělání s maturitou
40;110010108;Střední škola;C00;třída Národní svobody 420;Pražské Předměstí;397 01 Písek;39701.0;Písek;Jihočeský kraj;5341M007;Zdravotnický asistent;10;40;180.0;Písek;CZ0314;40312;třída Národní svobody;420;49.30972;14.144322;odborné vzdělání s maturitou
41;60075104;Střední škola;C00;Emy Destinové 395;České Budějovice 2;370 05 České Budějovice;37005.0;České Budějovice;Jihočeský kraj;3742M01;Logistické a finanční služby;10;40;100.0;České Budějovice;CZ0311;40282;Emy Destinové;395;48.980191;14.450642;odborné vzdělání s maturitou
42;108054080;Střední škola;C00;Karla Čapka 402;Budějovické Předměstí;397 01 Písek;39701.0;Písek;Jihočeský kraj;1820M01;Informační technologie;10;40;130.0;Písek;CZ0314;40312;Karla Čapka;402;49.303729;14.154222;informační technologie
43;108054110;Střední škola;C00;Lesnická 55;Václavské Předměstí;397 01 Písek;39701.0;Písek;Jihočeský kraj;4146M01;Lesnictví;10;40;240.0;Písek;CZ0314;40312;Lesnická;55;49.310815;14.134843;odborné vzdělání s maturitou
44;72818;Střední škola;C00;Zahradní 249;Prachatice II;383 01 Prachatice;38301.0;Prachatice;Jihočeský kraj;7531M005;Předškolní a mimoškolní pedagogika;10;40;180.0;Prachatice;CZ0315;40321;Zahradní;249;49.011468;14.000702;odborné vzdělání s maturitou
45;60650770;Střední škola;C00;Zátiší 480;Vodňany II;389 01 Vodňany;38901.0;Vodňany;Jihočeský kraj;3647M01;Stavebnictví;10;40;120.0;Strakonice;CZ0316;40339;Zátiší;480;49.160205;14.175891;odborné vzdělání s maturitou
46;60650494;Střední škola;C00;Resslova 440;387 01 Volyně;387 01 Volyně;38701.0;Volyně;Jihočeský kraj;3342M01;Nábytkářská a dřevařská výroba;10;40;136.0;Strakonice;CZ0316;40339;Resslova;440;49.1717;13.885104;odborné vzdělání s maturitou
47;60064790;Střední škola;C00;Jiráskova 1615;390 02 Tábor;390 02 Tábor;39002.0;Tábor;Jihočeský kraj;6341M004;Obchodní akademie;10;40;340.0;Tábor;CZ0317;40347;Jiráskova;1615;49.413148;14.667656;obchodní akademie a veřejnosprávní činnost
48;60064781;Střední škola;C00;nám. T. G. Masaryka 788/1;390 02 Tábor;390 02 Tábor;39002.0;Tábor;Jihočeský kraj;4141M01;Agropodnikání;10;40;240.0;Tábor;CZ0317;40347;nám. T. G. Masaryka;788/1;49.413147;14.668639;odborné vzdělání s maturitou
49;110021461;Střední škola;C00;Bavorovská 1046;Vodňany II;389 01 Vodňany;38901.0;Vodňany;Jihočeský kraj;7941K41;Gymnázium;10;40;136.0;Strakonice;CZ0316;40339;Bavorovská;1046;49.146641;14.167262;gymnázium
50;513156;Střední škola;C00;Zvolenovská 537;373 41 Hluboká nad Vltavou;373 41 Hluboká nad Vltavou;37341.0;Hluboká nad Vltavou;Jihočeský kraj;1820M01;Informační technologie;10;40;120.0;České Budějovice;CZ0311;40282;Zvolenovská;537;49.037012;14.420035;informační technologie
