,Unnamed: 0,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost,cas_cesty
30,1421,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,61924008,Čáslav,49.908143,15.396187,28.096078509975587,2319
31,1422,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,49797999,Čáslav,49.90249,15.393467,27.891911061677312,2327
32,1536,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,102006881,Havlíčkův Brod,49.609084,15.580284,19.24896259734168,1747
33,1537,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,102006920,Chotěboř,49.716829,15.672957,5.5391705423267,692
34,1539,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,102018006,Havlíčkův Brod,49.602624,15.579104,19.91723002259277,1874
35,1540,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,102006954,Chotěboř,49.718219,15.671713,5.455522110875665,630
36,1551,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,108027457,Žďár nad Sázavou,49.567574,15.933153,26.579081974937747,2461
37,1554,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,102943516,Žďár nad Sázavou,49.565058,15.944092,27.277451849686862,2291
38,1555,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,102943559,Žďár nad Sázavou,49.565627,15.943057,27.181822568177317,2281
39,1557,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,110026179,Žďár nad Sázavou,49.566429,15.93214,26.63823892576965,2415
40,1558,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,110030559,Havlíčkův Brod,49.609529,15.575103,19.39383242945152,1736
41,1559,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,110031334,Žďár nad Sázavou,49.557691,15.939988,27.75676774076444,2432
42,2346,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047741,Jihlava,49.397998,15.585825,20.583005524820106,1854
43,2347,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047750,Telč,49.182964,15.44864,29.60131062507521,2793
44,2348,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047920,Jihlava,49.397335,15.583685,20.66953970377678,1711
45,2349,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047792,Jihlava,49.398965,15.586577,20.599304298175785,1821
46,2350,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047938,Jihlava,49.39907,15.590673,20.36331169640521,1811
47,2351,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,44065663,Třebíč,49.213896,15.885973,10.0239518703998,816
48,2352,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,44065485,Moravské Budějovice,49.050817,15.814281,26.937950070838127,2125
49,2353,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,559237,Třebíč,49.213958,15.88156,9.868517866327018,793
50,2354,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,566900,Třebíč,49.222974,15.867134,8.513391770061853,552
