,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
2842,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,110100859,Skuteč,49.840165,15.993545,28.6943809039065
3147,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102006920,Chotěboř,49.716829,15.672957,28.077219835165288
3150,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102006954,Chotěboř,49.718219,15.671713,28.235238373617335
3161,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,108027457,Žďár nad Sázavou,49.567574,15.933153,5.283056477354174
3162,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943508,Velké Meziříčí,49.351674,16.020545,25.663048095954846
3163,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943494,Nové Město na Moravě,49.563758,16.072654,5.432749665094193
3164,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943516,Žďár nad Sázavou,49.565058,15.944092,4.646547551134142
3165,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943559,Žďár nad Sázavou,49.565627,15.943057,4.689506884847468
3166,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,102943486,Bystřice nad Pernštejnem,49.517715,16.258234,19.767641311197472
3167,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,110026179,Žďár nad Sázavou,49.566429,15.93214,5.392663938856029
3169,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,110031334,Žďár nad Sázavou,49.557691,15.939988,5.289624983793585
3240,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,102403562,Dačice,49.083139,15.428631,16.020425511542076
3956,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047741,Jihlava,49.397998,15.585825,24.545564261939898
3957,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047750,Telč,49.182964,15.44864,10.673427782279866
3958,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047920,Jihlava,49.397335,15.583685,24.476688756680918
3959,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047792,Jihlava,49.398965,15.586577,24.651599572158904
3960,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047938,Jihlava,49.39907,15.590673,24.657500376714996
3961,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,44065663,Třebíč,49.213896,15.885973,21.513905998447697
3962,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,44065485,Moravské Budějovice,49.050817,15.814281,21.263014247371785
3963,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,559237,Třebíč,49.213958,15.88156,21.200414561231614
3964,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,566900,Třebíč,49.222974,15.867134,20.39694825371568
3965,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,55069,Moravské Budějovice,49.053348,15.807336,20.697863521371126
3975,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,108047946,Jihlava,49.386967,15.593135,23.309986479008856
3976,CZ0632,587923.0,Stará Říše,616.0,49.17734,15.5952301,110250591,Třebíč,49.224915,15.891465,22.16366632739172
4752,CZ0633,598712.0,Kojčice,325.0,49.4759501,15.2558951,367761,Humpolec,49.541758,15.35375,10.171785728735824
