PSC,obec,okres
383 01,Strunkovice nad Blanicí,Prachatice
405 02,Heřmanov,Děčín
671 54,Blanné,Znojmo
678 01,Blansko,Blansko
382 41,Kaplice,Český Krumlov
538 62,Hrochův Týnec,Chrudim
512 43,Jablonec nad Jizerou,Semily
340 22,Nýrsko,Klatovy
506 01,Zámostí-Blata,Jičín
472 01,Blatce,Česká Lípa
391 65,Hodětín,Tábor
783 75,Blatec,Olomouc
512 63,Rovensko pod Troskami,Semily
472 01,Blatce,Česká Lípa
388 01,Blatná,Strakonice
592 02,Sněžné,Žďár nad Sázavou
388 01,Blatná,Strakonice
382 79,Frymburk,Český Krumlov
391 43,Pojbuky,Tábor
583 01,Maleč,Havlíčkův Brod
330 25,Blatnice,Plzeň-sever
675 51,Blatnice,Třebíč
696 71,Blatnice pod Svatým Antonínkem,Hodonín
696 71,Blatnička,Hodonín
430 01,Blatno,Chomutov
439 84,Blatno,Louny
539 01,Hlinsko,Chrudim
530 02,Mikulovice,Pardubice
378 33,Nová Bystřice,Jindřichův Hradec
285 04,Uhlířské Janovice,Kutná Hora
378 52,Blažejov,Jindřichův Hradec
383 01,Zbytiny,Prachatice
257 68,Blažejovice,Benešov
592 57,Rozsochy,Žďár nad Sázavou
257 44,Rabyně,Benešov
768 61,Blazice,Kroměříž
440 01,Blažim,Louny
257 44,Neveklov,Benešov
330 38,Blažim,Plzeň-sever
382 41,Omlenice,Český Krumlov
549 01,Slavoňov,Náchod
592 51,Blažkov,Žďár nad Sázavou
395 01,Křešín,Pelhřimov
783 25,Bouzov,Olomouc
664 08,Blažovice,Brno-venkov
399 01,Zhoř,Písek
411 15,Třebívlice,Litoměřice
503 46,Blešno,Hradec Králové
273 28,Blevice,Kladno
280 02,Plaňany,Kolín
768 05,Koryčany,Kroměříž
340 34,Plánice,Klatovy
345 45,Blížejov,Domažlice
471 04,Blíževedly,Česká Lípa
594 42,Blízkov,Žďár nad Sázavou
671 55,Blížkovice,Znojmo
382 26,Černá v Pošumaví,Český Krumlov
538 62,Hrochův Týnec,Chrudim
384 51,Horní Planá,Český Krumlov
432 01,Vilémov,Chomutov
336 01,Blovice,Plzeň-jih
439 88,Blšany,Louny
440 01,Blšany u Loun,Louny
664 56,Blučina,Brno-venkov
362 36,Pernink,Karlovy Vary
789 61,Bludov,Šumperk
286 01,Bludov,Kutná Hora
736 01,Havířov,Karviná
741 01,Nový Jičín,Nový Jičín
289 31,Bobnice,Nymburk
468 22,Malá Skála,Jablonec nad Nisou
542 01,Žacléř,Trutnov
592 55,Bobrová,Žďár nad Sázavou
790 61,Lipová-lázně,Jeseník
748 01,Hlučín,Opava
592 55,Bobrůvka,Žďár nad Sázavou
363 01,Stráž nad Ohří,Karlovy Vary
739 91,Bocanovice,Frýdek-Místek
750 02,Bochoř,Přerov
364 71,Bochov,Karlovy Vary
675 05,Bochovice,Třebíč
508 01,Boháňka,Jičín
503 23,Boharyně,Hradec Králové
685 01,Bohaté Málkovice,Vyškov
470 02,Bohatice,Česká Lípa
360 04,Karlovy Vary,Karlovy Vary
592 55,Bohdalec,Žďár nad Sázavou
683 41,Bohdalice-Pavlovice,Vyškov
394 91,Bohdalín,Pelhřimov
592 13,Bohdalov,Žďár nad Sázavou
571 01,Městečko Trnávka,Svitavy
468 45,Velké Hamry,Jablonec nad Nisou
381 01,Bohdalovice,Český Krumlov
285 25,Bohdaneč,Kutná Hora
285 22,Bohdaneč,Kutná Hora
463 42,Bílá,Liberec
747 55,Jakartovice,Opava
342 01,Dlouhá Ves,Klatovy
549 41,Červený Kostelec,Náchod
549 57,Teplice nad Metují,Náchod
518 01,Bohdašín,Rychnov nad Kněžnou
549 01,Bohdašín,Rychnov nad Kněžnou
789 64,Bohdíkov,Šumperk
262 31,Bohostice,Příbram
262 63,Bohostice,Příbram
417 41,Krupka,Teplice
417 42,Krupka,Teplice
280 02,Červené Pečky,Kolín
281 63,Horní Kruty,Kolín
382 03,Křemže,Český Krumlov
561 86,Záchlumí,Ústí nad Orlicí
747 41,Hradec nad Moravicí,Opava
254 01,Petrov,Praha-západ
533 04,Rokytno,Pardubice
463 43,Český Dub,Liberec
384 81,Bohumilice,Prachatice
691 72,Klobouky u Brna,Břeclav
584 01,Kožlí,Havlíčkův Brod
735 81,Bohumín,Karviná
735 51,Bohumín,Karviná
735 31,Bohumín,Karviná
735 81,Bohumín,Karviná
735 81,Bohumín,Karviná
735 51,Bohumín,Karviná
735 52,Bohumín,Karviná
384 22,Bohunice,Prachatice
375 01,Všemyslice,České Budějovice
619 00,Brno,Brno-město
625 00,Brno,Brno-město
639 00,Brno,Brno-město
569 04,Bohuňov,Svitavy
593 01,Bohuňov,Žďár nad Sázavou
570 01,Bohuňovice,Svitavy
783 14,Bohuňovice,Olomouc
513 01,Jesenný,Semily
675 51,Bohušice,Třebíč
511 01,Hrubá Skála,Semily
353 01,Teplá,Cheb
696 55,Kyjov,Hodonín
588 56,Bohuslavice,Jihlava
789 72,Bohuslavice,Šumperk
798 56,Bohuslavice,Prostějov
747 19,Bohuslavice,Opava
549 06,Bohuslavice,Náchod
542 32,Trutnov,Trutnov
541 01,Trutnov,Trutnov
763 21,Bohuslavice nad Vláří,Zlín
763 51,Bohuslavice u Zlína,Zlín
751 31,Bohuslávky,Přerov
588 56,Knínice,Jihlava
336 01,Blovice,Plzeň-jih
793 99,Bohušov,Bruntál
411 56,Bohušovice nad Ohří,Litoměřice
671 76,Bohutice,Znojmo
395 01,Lidmaň,Pelhřimov
789 62,Bohutín,Šumperk
262 41,Bohutín,Příbram
331 41,Bohy,Plzeň-sever
538 26,Bojanov,Chrudim
594 51,Křižanov,Žďár nad Sázavou
342 01,Rabí,Klatovy
768 31,Zlobice,Kroměříž
252 06,Bojanovice,Praha-západ
671 53,Bojanovice,Znojmo
348 02,Bor,Tachov
398 43,Bernartice,Písek
398 04,Mirovice,Písek
294 41,Dobrovice,Mladá Boleslav
541 01,Trutnov,Trutnov
280 02,Červené Pečky,Kolín
584 01,Bojiště,Havlíčkův Brod
687 71,Bojkovice,Uherské Hradiště
286 01,Žehušice,Kutná Hora
252 10,Čisovice,Praha-západ
747 23,Bolatice,Opava
431 21,Boleboř,Chomutov
396 01,Želiv,Pelhřimov
264 01,Sedlec-Prčice,Příbram
517 31,Bolehošť,Rychnov nad Kněžnou
517 31,Bolehošť,Rychnov nad Kněžnou
783 75,Dub nad Moravou,Olomouc
691 12,Boleradice,Břeclav
257 91,Sedlec-Prčice,Příbram
593 01,Věstín,Žďár nad Sázavou
339 01,Bolešiny,Klatovy
463 73,Černousy,Liberec
382 21,Kájov,Český Krumlov
381 01,Boletice,Český Krumlov
407 11,Děčín,Děčín
301 00,Plzeň,Plzeň-město
316 00,Plzeň,Plzeň-město
323 00,Plzeň,Plzeň-město
675 44,Babice,Třebíč
384 81,Zálezly,Prachatice
258 01,Vlašim,Benešov
334 01,Bolkov,Plzeň-jih
348 13,Chodová Planá,Tachov
348 02,Stráž,Tachov
348 02,Stráž,Tachov
753 01,Olšovec,Přerov
582 55,Boňkov,Havlíčkův Brod
257 91,Střezimíř,Benešov
675 51,Jaroměřice nad Rokytnou,Třebíč
348 02,Bor,Tachov
262 72,Březnice,Příbram
264 01,Nedrahovice,Příbram
393 01,Střítež,Pelhřimov
360 01,Sadov,Karlovy Vary
382 32,Velešín,Český Krumlov
592 62,Sejřek,Žďár nad Sázavou
294 43,Vlkava,Mladá Boleslav
378 06,Suchdol nad Lužnicí,Jindřichův Hradec
592 61,Borač,Brno-venkov
385 01,Vimperk,Prachatice
250 65,Bořanovice,Praha-východ
391 33,Borotín,Tábor
384 22,Dub,Prachatice
744 01,Bordovice,Nový Jičín
294 26,Boreč,Mladá Boleslav
410 02,Velemín,Litoměřice
471 24,Ralsko,Česká Lípa
397 01,Čížová,Písek
472 01,Ždírec,Česká Lípa
507 71,Borek,Jičín
539 73,Skuteč,Chrudim
392 01,Košice,Tábor
277 14,Borek,Praha-východ
364 52,Pšov,Karlovy Vary
286 01,Horka I,Kutná Hora
337 01,Rokycany,Rokycany
348 02,Stráž,Tachov
405 02,Malšovice,Děčín
331 41,Kozojedy,Plzeň-sever
373 67,Borek,České Budějovice
534 01,Borek,Pardubice
380 01,Dačice,Jindřichův Hradec
470 02,Zahrádky,Česká Lípa
582 82,Borek,Havlíčkův Brod
267 01,Suchomasty,Beroun
512 63,Hrubá Skála,Semily
281 63,Třebovle,Kolín
468 22,Frýdštejn,Jablonec nad Nisou
254 01,Jílové u Prahy,Praha-západ
264 01,Štětkovice,Příbram
769 01,Bořenovice,Kroměříž
256 01,Struhařov,Benešov
395 01,Bořetice,Pelhřimov
257 86,Neustupov,Benešov
280 02,Červené Pečky,Kolín
