,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
2405,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,110009878,Kroměříž,49.291048,17.381377,19.75089293439183
2412,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,150067241,Velehrad,49.182078,17.347035,27.733067539705523
2657,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,601357,Bruntál,49.989868,17.462559,25.88053509201349
2661,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,601322,Bruntál,49.992015,17.462892,25.999731186282435
2762,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,601764,Šternberk,49.731998,17.300598,21.806946577114243
2763,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,601756,Uničov,49.767152,17.121444,14.262481767489804
2765,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,848794,Šternberk,49.729516,17.300844,22.047047640487342
2769,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,601730,Uničov,49.77055,17.119499,13.893609474285068
2770,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,848875,Litovel,49.702046,17.073942,21.883684387853986
2772,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,601772,Litovel,49.701796,17.080931,21.820896702534228
2786,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,102692254,Mohelnice,49.774235,16.917775,20.430171541797453
2787,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,102692165,Zábřeh,49.880932,16.876928,18.35288920649349
2788,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,102692181,Šumperk,49.962258,16.977611,13.338083308133681
2789,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,102692190,Šumperk,49.966302,16.979562,13.480705509058238
2790,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,102692220,Šumperk,49.972886,16.964178,14.801406086566294
2791,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,102692262,Šumperk,49.970176,16.976002,13.940740323892534
2792,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,107881004,Zábřeh,49.88341,16.889105,17.46061270486854
2799,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,110010221,Šumperk,49.964818,16.972643,13.791859728103557
2801,CZ0715,540544.0,Oskava,1281.0,49.8952316,17.1321432,130002445,Šumperk,49.97303,16.978006,14.019327795456494
3337,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,102807655,Vyškov,49.278737,16.996375,20.802663989911782
3339,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,107871173,Vyškov,49.28626,17.002315,19.927551538916944
3559,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,103019715,Prostějov,49.473869,17.118552,10.346570204443639
3560,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,103031642,Prostějov,49.471651,17.107419,10.707399520441728
3561,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,103019731,Prostějov,49.474514,17.110269,10.79650396731926
3562,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,47921838,Prostějov,49.474921,17.110188,10.83384261958333
3563,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,110012216,Prostějov,49.467909,17.11623,9.96571228182687
3564,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,601799,Olomouc,49.602377,17.238502,22.26676327690761
3565,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,848956,Olomouc,49.578484,17.23574,19.602837486090273
3566,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,601781,Olomouc,49.595207,17.262989,21.707102159375683
3569,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,110300572,Olomouc,49.610705,17.261093,23.384844086078242
3571,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,601748,Olomouc,49.594679,17.264321,21.666125130551595
3572,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,14585235,Olomouc,49.60505,17.280097,23.021200243713075
3573,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,61942839,Olomouc,49.590318,17.249762,21.02391086038813
3576,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,601721,Olomouc,49.5942,17.246044,21.418548354753266
3578,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,602035,Olomouc,49.608658,17.26321,23.18429442380796
3579,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,14451085,Olomouc,49.596205,17.262147,21.80605674513895
3580,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,18468012,Olomouc,49.612404,17.224986,23.31528848896064
3581,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,844012,Olomouc,49.589858,17.272323,21.251416521244202
3584,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,842885,Přerov,49.453139,17.446616,17.922912690254467
3585,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,842915,Přerov,49.450847,17.449299,18.03080914770325
3586,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,842818,Přerov,49.446329,17.452641,18.122388270333452
3588,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,842966,Přerov,49.45112,17.450248,18.105305873532092
3590,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,49558421,Kojetín,49.349929,17.301776,8.819553407038036
3601,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,150004451,Olomouc,49.598299,17.27078,22.148336505094555
3602,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,110010167,Prostějov,49.47446,17.110847,10.763882205388438
3603,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,110030818,Olomouc,49.596365,17.245249,21.651015062488998
3605,CZ0713,589608.0,Klenovice na Hané,854.0,49.402918,17.2111296,130001457,Lipník nad Bečvou,49.525195,17.57204,29.413576621048072
